student_id,event_type,registration_days_before,previous_events_registered,previous_events_attended,club_member,event_day,event_time,travel_distance_km,attended
S1035,Workshop,3,8,4,Yes,Wednesday,14:00,4.6,0
S1431,Workshop,,5,5,No,Saturday,,6.4,1
S1264,Talk,11,2,2,Yes,Thursday,16:00,1.7,0
S1428,Social,4,5,3,No,Saturday,9:00,4.1,0
S1367,Social,0,4,3,Yes,Friday,14:00,8.5,1
S1092,Competition,10,3,2,Yes,Wednesday,11:00,45,1
S1340,Workshop,1,2,2,No,Saturday,11:00,4.9,1
S1482,Competition,5,3,2,Yes,Saturday,16:00,7.2,0
S1053,Social,2,5,4,No,Saturday,18:00,6.2,1
S1346,Talk,,1,1,Yes,Monday,18:00,5.2,0
S1265,Social,4,4,2,Yes,Monday,14:00,12.3,0
S1242,Social,4,4,3,No,Tuesday,16:00,7,0
S1014,Workshop,13,7,5,No,Friday,9:00,5.4,0
S1316,Competition,0,4,2,Yes,Sunday,9:00,9.5,1
S1089,Social,11,3,2,Yes,Saturday,14:00,7.4,0
S1388,Workshop,6,3,1,Yes,Monday,18:00,6.4,1
S1274,Social,11,5,4,Yes,Sunday,,11.4,1
S1167,Hackathon,0,5,,Yes,Thursday,11:00,5.5,1
S1329,Workshop,5,5,4,Yes,Wednesday,14:00,7.9,1
S1152,Workshop,14,3,3,No,Tuesday,16:00,2.2,1
S1135,Social,11,5,4,Yes,Sunday,18:00,0.8,1
S1307,Talk,,6,5,No,Sunday,18:00,6.2,1
S1489,Social,10,3,1,Yes,Thursday,18:00,9.6,1
S1320,Workshop,,5,3,No,Thursday,18:00,4.2,0
S1244,Hackathon,6,3,3,Yes,Saturday,9:00,8.8,1
S1055,Talk,14,3,2,Yes,Monday,16:00,4.1,1
S1364,Talk,13,5,5,No,Saturday,14:00,16.4,1
S1051,Social,4,1,1,Yes,Friday,16:00,2,1
S1498,Workshop,9,3,2,Yes,Tuesday,9:00,4.3,1
S1175,Talk,13,6,5,No,Tuesday,18:00,6.2,1
S1446,Social,10,3,3,Yes,Sunday,18:00,14.9,1
S1190,Workshop,14,9,8,Yes,Thursday,18:00,1.9,1
S1132,Workshop,12,2,1,Yes,Sunday,9:00,,0
S1464,Talk,0,3,3,Yes,Friday,14:00,2.2,0
S1188,Talk,7,1,1,Yes,Friday,16:00,12.7,1
S1170,Talk,11,7,4,Yes,Wednesday,16:00,7.3,0
S1059,Workshop,6,3,2,Yes,,18:00,1,1
S1049,Talk,2,4,3,No,Sunday,14:00,10.6,0
S1345,Hackathon,11,6,5,No,Thursday,14:00,10.6,0
S1236,Competition,7,2,1,Yes,Sunday,16:00,17,0
S1253,Competition,13,8,7,Yes,Sunday,14:00,8.6,1
S1022,Workshop,9,5,3,No,Tuesday,16:00,7.5,0
S1314,Social,14,9,8,Yes,Friday,18:00,4.8,1
S1460,HACKATHON,13,,5,Yes,Saturday,11:00,12.7,0
S1161,Hackathon,12,2,1,No,Sunday,14:00,5.7,1
S1277,Competition,2,4,3,Yes,Sunday,9:00,3.7,1
S1444,Hackathon,8,3,2,Yes,Friday,16:00,6,1
S1192,Social,5,1,0,Yes,Saturday,,6.1,1
S1386,Competition,11,6,5,Yes,Saturday,9:00,9,0
S1294,Hackathon,8,7,6,Yes,Monday,11:00,2.7,0
S1414,Talk,14,5,1,Yes,Friday,9:00,3.4,1
S1344,Hackathon,1,7,5,Yes,Wednesday,9:00,5.1,1
S1258,Competition,9,,5,Yes,Tuesday,14:00,1.6,1
S1309,Competition,2,4,,No,Monday,16:00,9,0
S1150,Workshop,0,3,2,No,Saturday,14:00,0.5,1
S1131,Hackathon,6,4,4,Yes,Monday,14:00,13,0
S1152,Workshop,14,3,3,No,Tuesday,16:00,2.2,1
S1360,Talk,0,2,1,Yes,Friday,14:00,9.9,1
S1100,Workshop,1,6,4,Yes,Saturday,16:00,18.8,1
S1373,Workshop,8,6,5,No,Tuesday,11:00,16.2,1
S1088,Talk,10,4,2,Yes,Tuesday,9:00,0.9,1
S1459,Workshop,9,3,2,Yes,Thursday,14:00,3.9,1
S1331,Hackathon,10,4,3,Yes,Monday,18:00,10.4,1
S1215,Competition,11,4,3,Yes,Wednesday,9:00,1.8,1
S1467,Hackathon,3,9,5,No,Monday,18:00,8.8,0
S1122,Social,10,5,2,Yes,Saturday,18:00,6.3,1
S1496,Hackathon,9,9,5,No,Thursday,16:00,10.7,1
S1021,Talk,12,5,3,No,Tuesday,9:00,9.5,1
S1189,Talk,14,1,1,Yes,Monday,16:00,18,1
S1072,Workshop,1,1,0,Yes,Monday,14:00,4.7,0
S1107,Hackathon,10,2,2,Yes,Sunday,18:00,11.8,1
S1271,Competition,9,8,6,No,Tuesday,9:00,3.8,1
S1349,Hackathon,5,2,1,No,Thursday,11:00,4.1,1
S1436,Competition,3,,5,Yes,Monday,11:00,5.5,1
S1103,Hackathon,9,4,4,Yes,Monday,14:00,1.4,1
